IDs         length   Exptl.  resolution  R-factor FreeRvalue
2OMLA       189      XRAY        1.200    0.15    0.18
5FMDA       665      XRAY        1.780    0.17    0.18
4LMGA       157      XRAY        2.200    0.19    0.24
3FKAA       120      XRAY        1.690    0.18    0.20
3BUUA       229      XRAY        1.200    0.16    0.19
4PEOA       106      XRAY        1.730    0.19    0.21
3TJ7A       195      XRAY        2.100    0.20    0.24
2WP3T       102      XRAY        1.480    0.18    0.22
3FLOA       460      XRAY        2.500    0.19    0.22
2QMQA       286      XRAY        1.700    0.15    0.18
1JUVA       193      XRAY        1.700    0.25    0.27
2Q12A       265      XRAY        1.790    0.21    0.26
1Y02A       120      XRAY        1.800    0.21    0.23
3DPJA       194      XRAY        1.900    0.20    0.24
3EJFA       176      XRAY        1.600    0.17    0.20
3II6X       263      XRAY        2.400    0.24    0.28
2F7VA       369      XRAY        1.750    0.20    0.23
5DAEA        65      XRAY        1.400    0.18    0.23
1GMIA       136      XRAY        1.700    0.23    0.26
3L4AA       141      XRAY        1.500    0.18    0.21
3T4LA       270      XRAY        1.530    0.18    0.20
5CEGB       117      XRAY        1.590    0.17    0.20
5IZTA       396      XRAY        1.900    0.17    0.21
1D02A       202      XRAY        1.700    0.18    0.21
4HI1A        91      XRAY        1.960    0.19    0.25
3FI8A       362      XRAY        2.300    0.20    0.27
3PO8A       100      XRAY        1.500    0.19    0.24
1F8YA       157      XRAY        2.400    0.16    0.22
2OPKA       112      XRAY        2.100    0.17    0.21
2Y8YA       215      XRAY        1.440    0.18    0.20
4L8JA       328      XRAY        2.060    0.21    0.23
4R9PA       242      XRAY        1.590    0.18    0.20
2DJWA        92      XRAY        2.400    0.25    0.29
2ZPTX       295      XRAY        1.150    0.15    0.16
2VNGA       180      XRAY        1.400    0.19    0.23
4ZSFA       272      XRAY        1.800    0.16    0.19
2PJPA       121      XRAY        2.300    0.20    0.25
1PMHX       185      XRAY        1.060    0.20    0.17
3RENA       350      XRAY        2.000    0.17    0.22
5D2KA       269      XRAY        1.570    0.15    0.17
3QTGA       461      XRAY        2.200    0.21    0.25
5J93A       176      XRAY        1.100    0.13    0.14
1N7OA       721      XRAY        1.500    0.18    0.21
2GFFA       106      XRAY        1.750    0.20    0.26
2XTCA        90      XRAY        2.220    0.24    0.26
4V03A       257      XRAY        1.900    0.22    0.28
3AG7A       106      XRAY        1.800    0.17    0.23
1MTYG       162      XRAY        1.700    0.18    1.00
4JOIA       166      XRAY        2.050    0.21    0.25
3T6GB       229      XRAY        2.500    0.20    0.27
1SO7A       382      XRAY        1.490    0.20    0.21
5L73A       192      XRAY        2.240    0.17    0.23
1II5A       233      XRAY        1.600    0.24    0.26
3JYZA       150      XRAY        1.550    0.18    0.21
4LHSA       343      XRAY        1.400    0.13    0.16
1DP5B        68      XRAY        2.200    0.19    0.23
3P3OA       416      XRAY        1.540    0.16    0.19
3LO3A        94      XRAY        2.380    0.20    0.28
2VC8A        84      XRAY        1.310    0.20    0.23
1YGTA       111      XRAY        1.700    0.20    0.23
3RAZA       151      XRAY        2.000    0.23    0.28
3GYBA       280      XRAY        1.600    0.22    0.23
5LE5K       204      XRAY        1.800    0.18    0.21
1PO5A       476      XRAY        1.600    0.22    0.29
4DT4A       169      XRAY        1.350    0.16    0.20
3E3UA       197      XRAY        1.560    0.17    0.20
2OB3A       330      XRAY        1.040    0.10    0.13
5BU9A       340      XRAY        2.250    0.16    0.20
2BMOB       194      XRAY        1.200    0.16    0.17
4QT6A       159      XRAY        1.640    0.17    0.21
3AMLA       755      XRAY        1.700    0.15    0.20
1RSSA       151      XRAY        1.900    0.23    0.28
3TU3B       711      XRAY        1.920    0.19    0.23
4OKOA       312      XRAY        2.050    0.21    0.23
4IM6A       206      XRAY        1.650    0.14    0.18
3DCMX       192      XRAY        2.000    0.20    0.23
4DD5A       396      XRAY        1.250    0.12    0.14
4Z8EA        70      XRAY        2.090    0.23    0.24
2BBDA       350      XRAY        2.040    0.21    0.25
2Y4YA        93      XRAY        1.700    0.18    0.22
3MIZA       301      XRAY        1.910    0.24    0.28
5L7JA       459      XRAY        2.150    0.19    0.22
2JENA       261      XRAY        1.400    0.12    0.14
4IQBA       315      XRAY        1.130    0.12    0.14
4PKLA       119      XRAY        1.250    0.17    0.18
1DQPA       230      XRAY        1.750    0.21    0.23
3DCDA       307      XRAY        1.900    0.18    0.21
5JENB       130      XRAY        2.300    0.18    0.24
3PDYA       210      XRAY        2.220    0.21    0.25
1L3LA       234      XRAY        1.660    0.25    0.27
3RY3A       528      XRAY        2.430    0.17    0.21
1V74B        87      XRAY        2.000    0.19    0.23
2DBNA       461      XRAY        1.700    0.19    0.20
4YBBC2       51      XRAY        2.100    0.22    0.23
4IEJA        93      XRAY        1.450    0.20    0.23
5M4BA       440      XRAY        1.500    0.14    0.17
3L5LA       363      XRAY        1.030    0.13    0.15
2XW6A       134      XRAY        1.080    0.13    0.16
2ZFYA       234      XRAY        1.690    0.20    0.24
1F39A       101      XRAY        1.900    0.23    0.26
4BVNA       315      XRAY        2.100    0.20    0.25
2FSXA       148      XRAY        1.800    0.18    0.22
5CA8A       692      XRAY        2.300    0.23    0.28
3H49A       325      XRAY        1.800    0.23    0.24
1ZZGA       415      XRAY        1.950    0.18    0.19
5M10A       541      XRAY        1.220    0.13    0.17
2DG6A       222      XRAY        2.200    0.23    0.28
1A5TA       334      XRAY        2.200    0.20    0.27
4LB0A       348      XRAY        1.700    0.16    0.19
2VQ3A       215      XRAY        2.000    0.20    0.24
1VJUA       309      XRAY        1.400    0.15    0.18
1F1MA       164      XRAY        1.800    0.20    0.23
4G1OA       364      XRAY        2.200    0.19    0.28
4E5YA       321      XRAY        2.370    0.23    0.29
2W5EA       163      XRAY        2.000    0.23    0.26
3ERPA       353      XRAY        1.550    0.15    0.18
5EZUA        89      XRAY        1.550    0.20    0.24
3LUIA       115      XRAY        1.800    0.20    0.24
2OWPA       129      XRAY        2.000    0.19    0.24
3RZNA       209      XRAY        1.100    0.14    0.16
3CWRA       208      XRAY        1.500    0.15    0.19
4M3OA       157      XRAY        2.100    0.21    0.25
3AWUB       134      XRAY        1.160    0.14    0.17
5U4OA       521      XRAY        2.050    0.18    0.20
3ZLCA       252      XRAY        2.000    0.17    0.21
3PGZA       193      XRAY        2.100    0.21    0.26
5A12A       242      XRAY        1.400    0.12    0.15
2QIPA       165      XRAY        1.480    0.16    0.18
3P4LA       211      XRAY        1.800    0.20    0.23
1OA8A       133      XRAY        1.700    0.21    0.25
1TWFC       318      XRAY        2.300    0.26    0.29
3TZYA       491      XRAY        2.200    0.23    0.27
4GLKA       172      XRAY        2.160    0.20    0.22
4NLMA       363      XRAY        1.180    0.15    0.18
5T9YA       342      XRAY        1.800    0.14    0.17
2GWDA       449      XRAY        2.090    0.18    0.23
3VRDB       401      XRAY        1.500    0.16    0.20
2BHGA       209      XRAY        1.900    0.22    0.24
4JVCA       216      XRAY        2.500    0.22    0.27
5CPCA       317      XRAY        2.150    0.21    0.24
1QW9A       502      XRAY        1.200    0.17    0.18
5KBZA       377      XRAY        1.800    0.19    0.22
2RK0A       136      XRAY        2.040    0.23    0.26
3GDWA       139      XRAY        2.000    0.18    0.21
3S0AA       119      XRAY        1.150    0.16    0.18
3E4GA       176      XRAY        0.960    0.14    0.16
1BS0A       384      XRAY        1.650    0.18    0.21
3NA5A       570      XRAY        1.700    0.18    0.22
3C96A       410      XRAY        1.900    0.18    0.20
1WLZA       105      XRAY        1.600    0.20    0.22
5B3FA       343      XRAY        2.500    0.22    0.28
2OSOA       163      XRAY        1.900    0.19    0.24
2IH3C       122      XRAY        1.720    0.23    0.24
1U8SA       192      XRAY        2.450    0.22    0.27
4J8LA       361      XRAY        1.650    0.17    0.20
3E1TA       512      XRAY        2.050    0.22    0.27
1H7SA       365      XRAY        1.950    0.22    0.24
3MTQA       159      XRAY        1.700    0.21    0.24
3WVTA       189      XRAY        1.600    0.20    0.20
3KUQA       228      XRAY        2.300    0.22    0.26
1WAAA        93      XRAY        1.800    0.21    0.27
5F2TA       308      XRAY        2.060    0.18    0.23
2G2QA       124      XRAY        2.500    0.23    0.29
4HKUA       178      XRAY        2.300    0.20    0.26
4LFHG       251      XRAY        2.300    0.19    0.24
3Q8GA       320      XRAY        1.800    0.19    0.23
3P8CB      1128      XRAY        2.290    0.19    0.24
1H2KS        41      XRAY        2.150    0.18    0.21
3MFNA       157      XRAY        2.020    0.19    0.23
4QC6A       179      XRAY        1.300    0.15    0.17
4ZVFA       172      XRAY        1.150    0.14    0.17
4ZW9A       518      XRAY        1.500    0.18    0.20
5EB9A       118      XRAY        2.010    0.24    0.26
3P0FA       297      XRAY        1.540    0.19    0.21
2XTPA       260      XRAY        1.500    0.18    0.20
3NO2A       276      XRAY        1.350    0.15    0.16
5FEYA        94      XRAY        2.230    0.25    0.27
3KKFA       105      XRAY        1.300    0.14    0.17
3U9RB       555      XRAY        1.500    0.17    0.18
4R03A       109      XRAY        1.500    0.17    0.19
4MTZA       111      XRAY        2.100    0.19    0.24
2BOGX       286      XRAY        1.040    0.15    0.17
2CJTA       131      XRAY        1.440    0.16    0.19
4QBDB       155      XRAY        2.230    0.19    0.22
3H2SA       224      XRAY        1.780    0.20    0.25
3AHCA       845      XRAY        1.700    0.15    0.18
5HJMA       352      XRAY        1.760    0.18    0.20
3BQWA       351      XRAY        2.200    0.18    0.23
4TYZA       110      XRAY        1.600    0.16    0.19
3SFVB       344      XRAY        1.730    0.19    0.23
3LYCA       241      XRAY        2.300    0.25    0.28
3QSLA       346      XRAY        2.000    0.19    0.23
3ZIHA        95      XRAY        2.000    0.19    0.25
1EVSA       187      XRAY        2.200    0.20    0.26
1HDKA       141      XRAY        1.800    0.20    0.22
3E8VA        82      XRAY        2.400    0.23    0.24
4A69C        94      XRAY        2.060    0.19    0.24
3IB5A       348      XRAY        1.350    0.15    0.18
1BKRA       109      XRAY        1.100    0.14    0.19
5CIVA       184      XRAY        1.380    0.18    0.20
3VJ9A       343      XRAY        1.520    0.16    0.21
1AM7A       158      XRAY        2.300    0.16    0.21
3C1YA       377      XRAY        2.100    0.22    0.26
3CNIA       156      XRAY        2.300    0.20    0.23
4XWJA       167      XRAY        2.100    0.22    0.30
3ML1B       135      XRAY        1.600    0.16    0.19
2OERA       214      XRAY        2.000    0.22    0.29
5TPIA       211      XRAY        1.470    0.14    0.18
3BMVA       683      XRAY        1.600    0.14    0.16
4TLVA       591      XRAY        1.900    0.19    0.21
3KP1A       763      XRAY        2.010    0.17    0.22
2CZRA       226      XRAY        2.300    0.19    0.23
4ABXA       175      XRAY        2.040    0.20    0.25
5BR4A       391      XRAY        0.910    0.13    0.15
3C3PA       210      XRAY        1.900    0.20    0.23
2DEBA       653      XRAY        1.600    0.17    0.19
3NOJA       238      XRAY        1.820    0.16    0.17
1ECFA       504      XRAY        2.000    0.17    0.23
4ESFA       117      XRAY        2.200    0.22    0.28
3ZXNA       123      XRAY        1.900    0.19    0.24
1W2TA       432      XRAY        1.870    0.20    0.23
4GT8A       139      XRAY        1.510    0.18    0.20
1LO7A       141      XRAY        1.500    0.16    0.20
4JK8A       222      XRAY        1.150    0.14    0.16
5A57A      1117      XRAY        1.460    0.14    0.16
5HKQI       129      XRAY        2.000    0.17    0.21
4U5RA       152      XRAY        1.550    0.16    0.17
2AUAA       224      XRAY        2.350    0.21    0.25
3WKYA       687      XRAY        1.800    0.18    0.20
1WPUA       147      XRAY        1.480    0.21    0.24
5MUNA       214      XRAY        1.800    0.20    0.24
2ICUA       229      XRAY        1.600    0.17    0.20
1DK8A       147      XRAY        1.570    0.17    0.20
4RDRA       748      XRAY        2.470    0.22    0.25
3K2OA       336      XRAY        1.750    0.19    0.23
4O6UA       184      XRAY        0.890    0.12    0.13
5LTJA       714      XRAY        1.780    0.18    0.20
2EGJA       128      XRAY        1.800    0.20    0.22
4YBBCC      271      XRAY        2.100    0.22    0.23
4RHOA       259      XRAY        2.250    0.23    0.25
1ZC3B       113      XRAY        2.000    0.22    0.23
5VSMA       318      XRAY        1.700    0.16    0.20
5HTXA       439      XRAY        1.490    0.14    0.17
1PZXA       289      XRAY        2.000    0.20    0.25
4FR9A       144      XRAY        1.200    0.15    0.17
3GO5A       285      XRAY        1.400    0.15    0.17
1OJHA        65      XRAY        1.800    0.18    0.22
3CLAA       213      XRAY        1.750    0.16    1.00
4Z47A       204      XRAY        1.450    0.14    0.20
5CXWA       430      XRAY        1.750    0.15    0.19
3ZQKA       199      XRAY        1.700    0.16    0.20
3FDJA       278      XRAY        1.800    0.16    0.19
2C9LY        63      XRAY        2.250    0.23    0.26
3KSNA       183      XRAY        1.650    0.20    0.24
4N6DA       346      XRAY        1.700    0.15    0.18
4RKSA       337      XRAY        2.000    0.20    0.24
3R4ZA       374      XRAY        1.550    0.17    0.18
4K4KA       282      XRAY        1.670    0.19    0.22
3PCVA       156      XRAY        1.900    0.18    0.20
3I3WA       443      XRAY        2.300    0.20    0.24
